LOC_ID      NAME                Description
MN-96     MN-96          NET FIRM INJECTION
MN-97     MN-97          NET INFIRM INJECTION
KS-91     KS-91          KSP INJ
KS-AD     KS-AD          KSP ADJ
KS-93     KS-93          UNIT-3 AND UNIT-4 INJECTION
KS-94     KS-94          UNIT-2 
KS-95     KS-95          KSK INJECTION
KS-96     KS-96          KSK FIRM INJECTION
KS-97     KS-97          KSK INFIRM INJECTION
CS-92     CS-92          SUB Total Drawal by Chhattisgarh (Main)
CS-93     CS-93          SUB TOTAL-2 OF CSEB
CS-91     CS-91          TOTAL DRAWAL OF CSEB
CS-AD     CS-AD          Adjustment column for CSEB
DD-91     DD-91          Total Drawal by Daman&Diu (Main)
DD-DW     DD-DW          SUM OF DALWADA AND DABHEL-DALWAD SEMS
DD-AD     DD-AD          ADJUSTMENT COLUMN FOR D&D
DN-91     DN-91          Total Drawal by Dadra&Nagarhaveli (Main)
DN-AD     DN-AD          ADJUSTMENT COLUMN FOR DNH
GU-93     GU-93          Partial drawal by GEB(Main)
GU-94     GU-94          Partial drawal by GEB(main)
GU-NR     GU-NR          LOSS CREDIT GIVEN TO GUVNL FOR WHEELING CENTRAL SECTOR POWER TO NR BY USING SOJA-KANSARI(CREDIT IS GIVEN ON TOTAL POWER FLOW THROUGH 400KV ZERDA-KANKROLI&ZERDA-BHINMAL)
SU-91     SU-91          Net Sugen injection to WR grid
SU-92     SU-92          STAND_BY INJECTION SET OF SUGEN 
SU-93     SU-93          CHECK INJECTION SET OF SUGEN 
SU-AD     SU-AD          ADJUSTMENT VALUES FOR SUGEN
GU-95     GU-95          Partial drawal by GEB(main)
GU-96     GU-96          Partial drawal by GEB(main)
GU-AD     GU-AD          Adjustment column for GEB
GU-97     GU-97          GUJRAT DRAWAL FROM MUNDRA
GU-98     GU-98          GUJRAT DRAWAL FROM MUNDRA
GU-91     GU-91          Total Drawal by Gujarat (Main)
MP-NR     MP-NR          LOSS CREDIT GIVEN TO MP FOR WHEELING CENTRAL SECTOR POWER TO NR THROUGH BADOD-MORAK&BADOD-KOTA
MP-93     MP-93          Partial drawal by MPSEB(Main)
MP-94     MP-94          Partial drawal by MPSEB(main)
MP-95     MP-95          Partial drawal by MPSEB(main)
MP-AD     MP-AD          Adjustment column for MPSEB
MP-96     MP-96          MP DRAWAL
MP-97     MP-97          MP DRAWAL NEW FILE
MP-91     MP-91          Total Drawal by Madhya Pradesh (Main)
MH-93     MH-93          Partial drawal by MSEB(Main)
MH-94     MH-94          Partial drawal by MSEB(main)
MH-95     MH-95          MSEDCL FICTMTR
MH-96     MH-96          AKOLA DRAWAL OF MSEB
MH-97     MH-97          PARTIAL DRAWAL OF MSEB
MH-AD     MH-AD          Adjustment column for MSEB
MH-91     MH-91          Total Drawal by Maharashtra (Main)
GO-91     GO-91          Total Drawal by Goa (Main)
GO-AD     GO-AD          Adjustment column for GOA
PG-91     PG-91          Total Drawal by POWERGRID at HVDC
PG-AD     PG-AD          Adjustment column for PG-WR
SR-91     SR-91          Total Import from Souther Region(Main)
SR-92     SR-92          Total Import from Souther Region(Check)
